Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Nicholas J. Begich III,AK,0,Republican,0%,0%,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Barry Moore,AL,1,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Shomari Figures,AL,2,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Mike D. Rogers,AL,3,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Robert B. Aderholt,AL,4,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Dale Strong,AL,5,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Gary Palmer,AL,6,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯
Rep. Terri Sewell,AL,7,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Rick Crawford,AR,1,Republican,0%,12%,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. French Hill,AR,2,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Steve Womack,AR,3,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯
Rep. Bruce Westerman,AR,4,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. David Schweikert,AZ,1,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Eli Crane,AZ,2,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Yassamin Ansari,AZ,3,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Greg Stanton,AZ,4,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Andy Biggs,AZ,5,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Juan Ciscomani,AZ,6,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Adelita S. Grijalva,AZ,7,Democrat,100%,100%,,,,,,,,,,,✓,✓,✓
Rep. Abraham J. Hamadeh,AZ,8,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Paul Gosar,AZ,9,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Doug LaMalfa,CA,1,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
