Name,State,Party,Score,Lifetime Score,"H.R. 1968, Full-Year Continuing Appropriations and Extensions Act (H.R. 1968)","S.Con.Res.7, Senate 2025 Budget Resolution (S.Con.Res.7)","S.J.Res.37, A Joint Resolution Terminating the National Emergency Declared to Impose Duties on Articles Imported from Canada (S.J.Res.37)",Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"S.1582, GENIUS Act (S.1582)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)",Nomination of Emil Bove (PN346-2),"S. 3386, Health Care Freedom for Patients Act (S. 3386)","S. 3385, Lower Health Care Costs Act (S. 3385)"
Sen. Lisa Murkowski,AK,Republican,33%,39%,ｘ,ｘ,✓,ｘ,ｘ,ｘ,✓,ｘ,✓
Sen. Dan Sullivan,AK,Republican,11%,22%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓
Sen. Katie Britt,AL,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Tommy Tuberville,AL,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. John Boozman,AR,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Tom Cotton,AR,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Ruben Gallego,AZ,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Mark Kelly,AZ,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Alex Padilla,CA,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Adam B. Schiff,CA,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Michael Bennet,CO,Democrat,100%,93%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. John Hickenlooper,CO,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Richard Blumenthal,CT,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Christopher S. Murphy,CT,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Lisa Blunt Rochester,DE,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Christopher A. Coons,DE,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Ashley Moody,FL,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Marco Rubio,FL,Republican,0%,11%,,,,,,,,,
Sen. Rick Scott,FL,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Jon Ossoff,GA,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Raphael Warnock,GA,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Mazie K. Hirono,HI,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Brian Schatz,HI,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Joni Ernst,IA,Republican,0%,16%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Charles E. Grassley,IA,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Michael D. Crapo,ID,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Jim Risch,ID,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Tammy Duckworth,IL,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Richard J. Durbin,IL,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓
