UNMATCHED: Jerry Carl | AL
UNMATCHED: Mary Peltola | AK
UNMATCHED: Debbie Lesko | AZ
UNMATCHED: Doug LaMalfa | CA
UNMATCHED: Barbara Lee | CA
UNMATCHED: John Duarte | CA
UNMATCHED: Eric Swalwell | CA
UNMATCHED: Anna Eshoo | CA
UNMATCHED: Tony Cárdenas | CA
UNMATCHED: Grace Napolitano | CA
UNMATCHED: Michelle Steel | CA
UNMATCHED: Katie Porter | CA
UNMATCHED: Doug Lamborn | CO
UNMATCHED: Yadira Caraveo | CO
UNMATCHED: Lisa Blunt Rochester | DE
UNMATCHED: Matt Gaetz | FL
UNMATCHED: Michael Waltz | FL
UNMATCHED: Bill Posey | FL
UNMATCHED: Sheila Cherfilus-McCormick | FL
UNMATCHED: Debbie Wasserman Schultz | FL
UNMATCHED: Mario Díaz-Balart | FL
UNMATCHED: Drew Ferguson | GA
UNMATCHED: Marjorie Greene | GA
UNMATCHED: Greg Pence | IN
UNMATCHED: Larry Bucshon | IN
UNMATCHED: Jake LaTurner | KS
UNMATCHED: Garret Graves | LA
UNMATCHED: Dutch Ruppersberger | MD
UNMATCHED: John Sarbanes | MD
UNMATCHED: David Trone | MD
UNMATCHED: Daniel Kildee | MI
UNMATCHED: Dean Phillips | MN
UNMATCHED: Cori Bush | MO
UNMATCHED: Blaine Luetkemeyer | MO
UNMATCHED: Matthew Rosendale | MT
UNMATCHED: Ann Kuster | NH
UNMATCHED: Jefferson Van Drew | NJ
UNMATCHED: Mikie Sherrill | NJ
UNMATCHED: Bonnie Watson Coleman | NJ
UNMATCHED: Teresa Leger Fernández | NM
UNMATCHED: Anthony D'Esposito | NY
UNMATCHED: Jamaal Bowman | NY
UNMATCHED: Marcus Molinaro | NY
UNMATCHED: Brandon Williams | NY
UNMATCHED: Foxx | VA
UNMATCHED: Kathy Manning | NC
UNMATCHED: Dan Bishop | NC
UNMATCHED: Patrick McHenry | NC
UNMATCHED: Wiley Nickel | NC
UNMATCHED: Jeff Jackson | NC
UNMATCHED: Kelly Armstrong | ND
UNMATCHED: Brad Wenstrup | OH
UNMATCHED: Earl Blumenauer | OR
UNMATCHED: Lori Chavez-DeRemer | OR
UNMATCHED: Susan Wild | PA
UNMATCHED: Matt Cartwright | PA
UNMATCHED: Jeff Duncan | SC
UNMATCHED: Mark Green | TN
UNMATCHED: Kay Granger | TX
UNMATCHED: Tony Gonzales | TX
UNMATCHED: Beth Van Duyne | TX
UNMATCHED: Michael Burgess | TX
UNMATCHED: Colin Allred | TX
UNMATCHED: Bob Good | VA
UNMATCHED: Abigail Spanberger | VA
UNMATCHED: Jennifer Wexton | VA
UNMATCHED: Gerald Connolly | VA
UNMATCHED: Marie Gluesenkamp Perez | WA
UNMATCHED: Cathy Rodgers | WA
UNMATCHED: Derek Kilmer | WA
UNMATCHED: Alexander Mooney | WV
UNMATCHED: Derrick Van Orden | WI
UNMATCHED: Kyrsten Sinema | AZ
UNMATCHED: Laphonza R. Butler | CA
UNMATCHED: Thomas R. Carper | DE
UNMATCHED: Marco Rubio | FL
UNMATCHED: Mike Braun | IN
UNMATCHED: Benjamin L. Cardin | MD
UNMATCHED: Chris Van Hollen | MD
UNMATCHED: Debbie Stabenow | MI
UNMATCHED: Jon Tester | MT
UNMATCHED: Catherine Cortez Masto | NV
UNMATCHED: J.D. Vance | OH
UNMATCHED: Markwayne Mullin | OK
UNMATCHED: Bob Casey | PA
UNMATCHED: Mitt Romney | UT
UNMATCHED: Joe, III Manchin | WV
