UNMATCHED [score_climate]: Lisa Blunt Rochester | DE
UNMATCHED [score_climate]: Marco Rubio | FL
UNMATCHED [score_climate]: Chris Van Hollen | MD
UNMATCHED [score_climate]: Catherine Cortez Masto | NV
UNMATCHED [score_climate]: Ben Ray LujÃ¡n | NM
UNMATCHED [score_climate]: J.D. Vance | OH
UNMATCHED [score_climate]: Markwayne Mullin | OK
UNMATCHED [score_climate]: Amata Radewagen | AK
UNMATCHED [score_climate]: Doug LaMalfa | CA
UNMATCHED [score_climate]: Eric Swalwell | CA
UNMATCHED [score_climate]: Linda Sanchez | CA
UNMATCHED [score_climate]: Nanette BarragÃ¡n | CA
UNMATCHED [score_climate]: Michael Waltz | FL
UNMATCHED [score_climate]: Sheila Cherfilus-McCormick | FL
UNMATCHED [score_climate]: Debbie Wasserman Schultz | FL
UNMATCHED [score_climate]: Mario DÃ­az-Balart | FL
UNMATCHED [score_climate]: Carlos GimÃ©nez | FL
UNMATCHED [score_climate]: Marjorie Greene | GA
UNMATCHED [score_climate]: Jim Moylan | GA
UNMATCHED [score_climate]: JesÃºs GarcÃ­a | IL
UNMATCHED [score_climate]: April McClain Delaney | MD
UNMATCHED [score_climate]: Kristen McDonald Rivet | MI
UNMATCHED [score_climate]: Jefferson Van Drew | NJ
UNMATCHED [score_climate]: Mikie Sherrill | NJ
UNMATCHED [score_climate]: Bonnie Watson Coleman | NJ
UNMATCHED [score_climate]: Teresa Leger FernÃ¡ndez | NM
UNMATCHED [score_climate]: Nydia VelÃ¡zquez | NY
UNMATCHED [score_climate]: Kimberlyn King-Hinds | ND
UNMATCHED [score_climate]: Pablo HernÃ¡ndez | PA
UNMATCHED [score_climate]: Mark Green | TN
UNMATCHED [score_climate]: Matt Van Epps | TN
UNMATCHED [score_climate]: Sylvester Turner | TX
UNMATCHED [score_climate]: Tony Gonzales | TX
UNMATCHED [score_climate]: Beth Van Duyne | TX
UNMATCHED [score_climate]: Stacey Plaskett | VT
UNMATCHED [score_climate]: Gerald Connolly | VA
UNMATCHED [score_climate]: Marie Gluesenkamp Perez | WA
UNMATCHED [score_climate]: Derrick Van Orden | WI
UNMATCHED [score_economic]: Rep. Doug LaMalfa | CA
UNMATCHED [score_economic]: Rep. Eric Swalwell | CA
UNMATCHED [score_economic]: Rep. Michael Waltz | FL
UNMATCHED [score_economic]: Rep. Sheila Cherfilus-McCormick | FL
UNMATCHED [score_economic]: Rep. Debbie Wasserman Schultz | FL
UNMATCHED [score_economic]: Rep. Carlos Giménez | FL
UNMATCHED [score_economic]: Rep. Marjorie Taylor Greene | GA
UNMATCHED [score_economic]: Rep. Johnny Olszewski | Jr.
UNMATCHED [score_economic]: Rep. April McClain Delaney | MD
UNMATCHED [score_economic]: Rep. Kristen McDonald Rivet | MI
UNMATCHED [score_economic]: Rep. Robert F. Onder | Jr.
UNMATCHED [score_economic]: Rep. Jefferson Van Drew | NJ
UNMATCHED [score_economic]: Rep. Herbert C. Conaway | Jr.
UNMATCHED [score_economic]: Rep. Mikie Sherrill | NJ
UNMATCHED [score_economic]: Rep. Bonnie Watson Coleman | NJ
UNMATCHED [score_economic]: Rep. Teresa Leger Fernandez | NM
UNMATCHED [score_economic]: Rep. Robert P. Bresnahan | Jr.
UNMATCHED [score_economic]: Rep. Mark Green | TN
UNMATCHED [score_economic]: Rep. Matt Van Epps | TN
UNMATCHED [score_economic]: Rep. Sylvester Turner | TX
UNMATCHED [score_economic]: Rep. Tony Gonzales | TX
UNMATCHED [score_economic]: Rep. Beth Van Duyne | TX
UNMATCHED [score_economic]: Rep. Gerald E. Connolly | VA
UNMATCHED [score_economic]: Rep. Marie Gluesenkamp Perez | WA
UNMATCHED [score_economic]: Rep. Derrick Van Orden | WI
UNMATCHED [score_economic]: Sen. Lisa Blunt Rochester | DE
UNMATCHED [score_economic]: Sen. Marco Rubio | FL
UNMATCHED [score_economic]: Sen. Chris Van Hollen | MD
UNMATCHED [score_economic]: Sen. Catherine Cortez Masto | NV
UNMATCHED [score_economic]: Sen. J.D. Vance | OH
UNMATCHED [score_economic]: Sen. Markwayne Mullin | OK
UNMATCHED [score_education]: Kyrsten Sinema | AZ
UNMATCHED [score_education]: Thomas Carper | DE
UNMATCHED [score_education]: Marco Rubio | FL
UNMATCHED [score_education]: Mike Braun | IN
UNMATCHED [score_education]: Ben Cardin | MD
UNMATCHED [score_education]: Christopher Van Hollen | MD
UNMATCHED [score_education]: Debbie Stabenow | MI
UNMATCHED [score_education]: Jon Tester | MT
UNMATCHED [score_education]: Ben Ray Lujan | NM
UNMATCHED [score_education]: Catherine Cortez Masto | NV
UNMATCHED [score_education]: J.D. Vance | OH
UNMATCHED [score_education]: Markwayne Mullin | OK
UNMATCHED [score_education]: Bob Casey | PA
UNMATCHED [score_education]: Mitt Romney | UT
UNMATCHED [score_education]: Joseph Manchin III | WV
UNMATCHED [score_education]: Mary Peltola | AK
UNMATCHED [score_education]: Jerry Lee Carl Jr. | AL
UNMATCHED [score_education]: Debra Kay (Lorenz) Lesko | AZ
UNMATCHED [score_education]: Doug LaMalfa | CA
UNMATCHED [score_education]: Barbara Jean Lee | CA
UNMATCHED [score_education]: John Duarte | CA
UNMATCHED [score_education]: Eric Swalwell | CA
UNMATCHED [score_education]: Anna A. Georges Eshoo | CA
UNMATCHED [score_education]: Antonio Cardenas | CA
UNMATCHED [score_education]: Graciela Flores Napolitano | CA
UNMATCHED [score_education]: Linda Sanchez | CA
UNMATCHED [score_education]: Nanette Barragan | CA
UNMATCHED [score_education]: Michelle Eunjoo (Park) Steel | CA
UNMATCHED [score_education]: Katherine Moore Porter | CA
UNMATCHED [score_education]: Douglas Lawrence Lamborn | CO
UNMATCHED [score_education]: Yadira Caraveo | CO
UNMATCHED [score_education]: Lisa Blunt Rochester | DE
UNMATCHED [score_education]: Matthew Louis Gaetz | FL
UNMATCHED [score_education]: Michael Waltz | FL
UNMATCHED [score_education]: William Joseph Posey | FL
UNMATCHED [score_education]: Sheila Cherfilus-McCormick | FL
UNMATCHED [score_education]: Debbie Wasserman Schultz | FL
UNMATCHED [score_education]: Anderson Drew Ferguson IV | GA
UNMATCHED [score_education]: Marjorie Greene | GA
UNMATCHED [score_education]: Jesus Garcia | IL
UNMATCHED [score_education]: Gregory Joseph Pence | IN
UNMATCHED [score_education]: Larry Dean Bucshon | IN
UNMATCHED [score_education]: Jacob A. LaTurner | KS
UNMATCHED [score_education]: Garret Neal Graves | LA
UNMATCHED [score_education]: Charles Albert Ruppersberger III | MD
UNMATCHED [score_education]: John Peter Spyros Sarbanes | MD
UNMATCHED [score_education]: David John Trone | MD
UNMATCHED [score_education]: Daniel Timothy Kildee | MI
UNMATCHED [score_education]: Dean Benson Phillips | MN
UNMATCHED [score_education]: Cori Bush | MO
UNMATCHED [score_education]: William Blaine Luetkemeyer | MO
UNMATCHED [score_education]: Matthew Martin Rosendale Sr. | MT
UNMATCHED [score_education]: Kathy Ellen Manning | NC
UNMATCHED [score_education]: James Daniel Bishop | NC
UNMATCHED [score_education]: Patrick Timothy McHenry | NC
UNMATCHED [score_education]: Wiley Nickel | NC
UNMATCHED [score_education]: Jeff Jackson | NC
UNMATCHED [score_education]: Kelly Michael Armstrong | ND
UNMATCHED [score_education]: Ann L. McLane Kuster | NH
UNMATCHED [score_education]: Jeff Van Drew | NJ
UNMATCHED [score_education]: Mikie Sherrill | NJ
UNMATCHED [score_education]: Bonnie Watson Coleman | NJ
UNMATCHED [score_education]: Teresa Leger Fernandez | NM
UNMATCHED [score_education]: Anthony D'Esposito | NY
UNMATCHED [score_education]: Nydia Velazquez | NY
UNMATCHED [score_education]: Jamaal A. Bowman | NY
UNMATCHED [score_education]: Marc Molinaro | NY
UNMATCHED [score_education]: Brandon Williams | NY
UNMATCHED [score_education]: Brian M. Higgins | NY
UNMATCHED [score_education]: Brad Robert Wenstrup | OH
UNMATCHED [score_education]: Earl Francis Blumenauer | OR
UNMATCHED [score_education]: Lori Chavez-DeRemer | OR
UNMATCHED [score_education]: Susan Ellis Wild | PA
UNMATCHED [score_education]: Matthew Alton Cartwright | PA
UNMATCHED [score_education]: Jeffrey Darren Duncan | SC
UNMATCHED [score_education]: Mark Green | TN
UNMATCHED [score_education]: Norvell Kay (Mullendore) Granger | TX
UNMATCHED [score_education]: Tony Gonzales | TX
UNMATCHED [score_education]: Beth Van Duyne | TX
UNMATCHED [score_education]: Michael Clifton Burgess | TX
UNMATCHED [score_education]: Colin Zachary Allred | TX
UNMATCHED [score_education]: Robert G. Good | VA
UNMATCHED [score_education]: Abigail Anne Davis Spanberger | VA
UNMATCHED [score_education]: Jennifer Lynn (Tosini) Wexton | VA
UNMATCHED [score_education]: Gerald Connolly | VA
UNMATCHED [score_education]: Marie Gluesenkamp Perez | WA
UNMATCHED [score_education]: Cathy Ann McMorris Rodgers | WA
UNMATCHED [score_education]: Derek Christian Kilmer | WA
UNMATCHED [score_education]: Derrick Van Orden | WI
UNMATCHED [score_education]: Michael John Gallagher | WI
UNMATCHED [score_education]: Alexander Xavier Mooney | WV
NOT IN DB: bioguide A000383
NOT IN DB: bioguide F000485
NOT IN DB: bioguide M001246
UNMATCHED [score_climate]: Lisa Blunt Rochester | DE
UNMATCHED [score_climate]: Marco Rubio | FL
UNMATCHED [score_climate]: Chris Van Hollen | MD
UNMATCHED [score_climate]: Catherine Cortez Masto | NV
UNMATCHED [score_climate]: Ben Ray LujÃ¡n | NM
UNMATCHED [score_climate]: J.D. Vance | OH
UNMATCHED [score_climate]: Markwayne Mullin | OK
UNMATCHED [score_climate]: Amata Radewagen | AK
UNMATCHED [score_climate]: Doug LaMalfa | CA
UNMATCHED [score_climate]: Eric Swalwell | CA
UNMATCHED [score_climate]: Linda Sanchez | CA
UNMATCHED [score_climate]: Nanette BarragÃ¡n | CA
UNMATCHED [score_climate]: Michael Waltz | FL
UNMATCHED [score_climate]: Sheila Cherfilus-McCormick | FL
UNMATCHED [score_climate]: Debbie Wasserman Schultz | FL
UNMATCHED [score_climate]: Mario DÃ­az-Balart | FL
UNMATCHED [score_climate]: Carlos GimÃ©nez | FL
UNMATCHED [score_climate]: Marjorie Greene | GA
UNMATCHED [score_climate]: Jim Moylan | GA
UNMATCHED [score_climate]: JesÃºs GarcÃ­a | IL
UNMATCHED [score_climate]: April McClain Delaney | MD
UNMATCHED [score_climate]: Kristen McDonald Rivet | MI
UNMATCHED [score_climate]: Jefferson Van Drew | NJ
